metric,file,name,value,line
cyclomatic,docs/capability_catalogue.jl,"Cap",1,45
cyclomatic,docs/capability_catalogue.jl,"Note",1,63
cyclomatic,docs/emit_capability_catalogue.jl,"is_ident",1,24
cyclomatic,docs/emit_capability_catalogue.jl,"jl_string",1,26
cyclomatic,docs/emit_capability_catalogue.jl,"jl_name",2,31
cyclomatic,docs/emit_capability_catalogue.jl,"jl_name",2,32
cyclomatic,docs/emit_capability_catalogue.jl,"jl_cap",3,34
cyclomatic,docs/emit_capability_catalogue.jl,"jl_head",1,42
cyclomatic,docs/emit_capability_catalogue.jl,"jl_head",1,43
cyclomatic,docs/emit_capability_catalogue.jl,"emit",1,50
cyclomatic,docs/emit_capability_catalogue.jl,"emit",1,51
cyclomatic,docs/emit_capability_catalogue.jl,"emit",2,52
cyclomatic,docs/emit_capability_catalogue.jl,"emit",1,58
cyclomatic,docs/emit_capability_catalogue.jl,"emit",1,61
cyclomatic,docs/emit_capability_catalogue.jl,"_with_children",2,65
cyclomatic,docs/emit_capability_catalogue.jl,"emit_catalogue",1,80
cyclomatic,docs/emit_capability_catalogue.jl,"write_catalogue",2,91
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",1,107
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",1,108
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",1,109
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",1,110
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",1,111
cyclomatic,docs/emit_capability_catalogue.jl,"map_caps",3,112
cyclomatic,docs/generate_capability_catalogue.jl,"summary_sentence",1,38
cyclomatic,docs/generate_capability_catalogue.jl,"summary_paragraph",4,43
cyclomatic,docs/generate_capability_catalogue.jl,"first_paragraph",8,75
cyclomatic,docs/generate_capability_catalogue.jl,"first_sentence",3,111
cyclomatic,docs/generate_capability_catalogue.jl,"ref",1,123
cyclomatic,docs/generate_capability_catalogue.jl,"ref",1,124
cyclomatic,docs/generate_capability_catalogue.jl,"join_refs",4,128
cyclomatic,docs/generate_capability_catalogue.jl,"cap_text",6,151
cyclomatic,docs/generate_capability_catalogue.jl,"head_text",1,160
cyclomatic,docs/generate_capability_catalogue.jl,"head_text",1,161
cyclomatic,docs/generate_capability_catalogue.jl,"render",2,165
cyclomatic,docs/generate_capability_catalogue.jl,"render",1,172
cyclomatic,docs/generate_capability_catalogue.jl,"render",2,188
cyclomatic,docs/generate_capability_catalogue.jl,"render",1,195
cyclomatic,docs/generate_capability_catalogue.jl,"render",2,199
cyclomatic,docs/generate_capability_catalogue.jl,"render_catalogue",2,214
cyclomatic,docs/generate_capability_catalogue.jl,"collapse_blank_runs",1,234
cyclomatic,docs/generate_capability_catalogue.jl,"assert_complete",8,265
cyclomatic,docs/generate_capability_catalogue.jl,"assert_refs_survive",13,325
cyclomatic,docs/generate_capability_catalogue.jl,"generate_capability_catalogue",1,378
cyclomatic,docs/generate_type_hierarchy.jl,"is_linkable",1,28
cyclomatic,docs/generate_type_hierarchy.jl,"_node",2,33
cyclomatic,docs/generate_type_hierarchy.jl,"_type_tree",6,45
cyclomatic,docs/generate_type_hierarchy.jl,"type_tree",1,63
cyclomatic,docs/generate_type_hierarchy.jl,"max_api_index",3,71
cyclomatic,docs/generate_type_hierarchy.jl,"generate_type_hierarchy",4,83
cyclomatic,docs/make.jl,"<anonymous>",1,6
cyclomatic,docs/make.jl,"<anonymous>",1,10
cyclomatic,docs/make.jl,"pre_process_content_md",1,35
cyclomatic,docs/make.jl,"pre_process_content_nb",1,47
cyclomatic,docs/make.jl,"fix_suffix_md",1,60
cyclomatic,docs/make.jl,"group_label",1,83
cyclomatic,docs/make.jl,"generate_files",9,93
cyclomatic,examples/1_foundations/01_Getting_Started.jl,"<anonymous>",2,16
cyclomatic,examples/1_foundations/01_Getting_Started.jl,"<anonymous>",3,23
cyclomatic,examples/1_foundations/01_Getting_Started.jl,"<anonymous>",3,30
cyclomatic,examples/1_foundations/02_Data_Preprocessing.jl,"<anonymous>",3,40
cyclomatic,examples/1_foundations/03_Asset_Preselection.jl,"<anonymous>",3,38
cyclomatic,examples/1_foundations/03_Asset_Preselection.jl,"<anonymous>",1,141
cyclomatic,examples/1_foundations/03_Asset_Preselection.jl,"<anonymous>",1,214
cyclomatic,examples/2_moments_priors/01_Expected_Returns_Estimation.jl,"<anonymous>",3,28
cyclomatic,examples/2_moments_priors/01_Expected_Returns_Estimation.jl,"<anonymous>",3,35
cyclomatic,examples/2_moments_priors/02_Covariance_Estimation.jl,"<anonymous>",3,31
cyclomatic,examples/2_moments_priors/02_Covariance_Estimation.jl,"<anonymous>",3,38
cyclomatic,examples/2_moments_priors/03_Higher_Moment_Estimation.jl,"<anonymous>",3,27
cyclomatic,examples/2_moments_priors/03_Higher_Moment_Estimation.jl,"<anonymous>",3,34
cyclomatic,examples/2_moments_priors/04_Factor_Priors.jl,"<anonymous>",2,17
cyclomatic,examples/2_moments_priors/04_Factor_Priors.jl,"<anonymous>",3,24
cyclomatic,examples/2_moments_priors/04_Factor_Priors.jl,"<anonymous>",3,31
cyclomatic,examples/2_moments_priors/04_Factor_Priors.jl,"<anonymous>",3,38
cyclomatic,examples/2_moments_priors/05_Black_Litterman.jl,"<anonymous>",3,33
cyclomatic,examples/2_moments_priors/05_Black_Litterman.jl,"<anonymous>",3,40
cyclomatic,examples/2_moments_priors/06_Advanced_Black_Litterman.jl,"<anonymous>",3,38
cyclomatic,examples/2_moments_priors/06_Advanced_Black_Litterman.jl,"<anonymous>",3,45
cyclomatic,examples/2_moments_priors/07_Entropy_Pooling.jl,"<anonymous>",3,34
cyclomatic,examples/2_moments_priors/07_Entropy_Pooling.jl,"<anonymous>",3,41
cyclomatic,examples/2_moments_priors/08_Opinion_Pooling.jl,"<anonymous>",3,28
cyclomatic,examples/2_moments_priors/08_Opinion_Pooling.jl,"<anonymous>",3,35
cyclomatic,examples/2_moments_priors/09_Uncertainty_Sets.jl,"<anonymous>",3,33
cyclomatic,examples/2_moments_priors/09_Uncertainty_Sets.jl,"set_width",1,185
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"<anonymous>",3,35
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"annvol",1,63
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"<anonymous>",1,129
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"<anonymous>",1,130
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"windowed_minrisk",1,160
cyclomatic,examples/2_moments_priors/10_Windowed_Estimators.jl,"<anonymous>",3,177
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"<anonymous>",3,43
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"quintile",1,86
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"long_only",1,92
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"ladder",1,109
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"<anonymous>",2,116
cyclomatic,examples/2_moments_priors/11_L1_Uncertainty_Quintile_Portfolios.jl,"<anonymous>",1,148
